,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa"
272347,49.000000000032,3953.0,14102.0,0.6721017150453232,0.0306882537921155,0.1424871262711586,0.0787355615148111,0.0186541717610282,0.0282384421955226,0.0290947294200404,22.30607001419446,2399.0
443220,42.99999999995788,4606.0,9522.0,0.6868176538521812,0.1048048272579778,0.0698966514029863,0.0784997126336141,0.0336919415843097,0.0154652992467907,0.0108239140221398,-1.4980961892932214,2002.0
293824,14.999999999941735,4182.0,5159.999999999999,0.71671628589265,0.1321948207374981,0.0471455860061477,0.0500642508641657,0.0214467613594418,0.0205229213716489,0.0119093737684477,-12.917434258724713,2320.0
433404,-20.0,4136.0,5574.816481496576,0.7404273720047229,0.1177397329921084,0.1125329187689466,0.0166081803652571,0.0081439961163047,0.0029961427978915,0.0015516569547686,-43.31616103893791,2212.0
116331,44.99999999997004,4404.0,10982.999999999998,0.648972258594165,0.1233021427772394,0.0334442861089002,0.1523587704426188,0.0075004227425979,0.0237535232601403,0.010668596074338,12.677366040819322,2417.0
234704,50.0,4874.0,18116.0,0.6915663713327888,0.0968634475819636,0.0837696936131685,0.0846895118142797,0.0146143744134984,0.0116220762854998,0.0168745249588012,13.220349753784774,2498.0
508687,-7.0,3691.0,14245.097176835894,0.6976249790207717,0.1274743053062797,0.0835115291188861,0.078399280358825,0.0027345041930824,0.0052372378459143,0.0050181641562407,-28.318197682222404,2078.0
534414,42.99999999995964,4528.0,1834.0,0.6445490798034091,0.1244927622799952,0.0500387398507657,0.1286502386810419,0.0150466493006181,0.0244157094938515,0.0128068205903182,1.5120706199902545,2029.0
508524,8.0,4252.0,5622.0,0.6376706794632063,0.1227636643157563,0.1008303780318451,0.1019747390278888,0.0235312400425526,0.0075147852902802,0.0057145138284705,-11.387622147223624,2516.0
143415,-8.0,4167.0,11307.475649092788,0.8068207317421819,0.0409633690927147,0.0395763076833838,0.0809673317987069,0.0210874747905022,0.0040979505709029,0.0064868343216073,-26.68166484610373,2591.0
521275,17.0,4645.0,18179.0,0.7107971760012629,0.0965484061406186,0.0822902669684622,0.0850497230804424,0.0150358003969716,0.0049678086186155,0.0053108187936268,-13.805483994722069,2500.0
518314,-16.0,4466.0,3780.1628920759326,0.8367862045708083,0.0361352695126857,0.0350827690275426,0.0758902419362142,0.009095189926665,0.0037368416615971,0.0032734833644869,-46.24043296669362,2055.0
